Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PP_G,PP_A,SH_G,SH_A,Def_Hits,Def_BS
Radko Gudas,ANH,D,43,6,7,13,17,79,61,0,0,0,0,0,123,100
Brenden Dillon,WPG,D,47,6,9,15,16,60,46,2,0,0,0,0,115,66
Ryan Strome,ANH,C,46,6,18,24,-11,61,79,0,1,5,0,0,27,14
Jonathan Huberdeau,CGY,LW,48,6,20,26,-15,25,79,1,1,5,0,0,29,25
Tomas Tatar,SEA,LW,44,6,12,18,11,16,49,2,0,1,0,0,22,15
Evgeny Kuznetsov,WAS,C,43,6,11,17,-11,24,69,1,0,4,0,0,6,12
Jordan Staal,CAR,C,48,6,9,15,-12,26,79,2,0,1,0,1,66,24
Jack McBain,ARI,C,33,6,9,15,3,31,30,1,0,0,0,0,67,20
Paul Cotter,VGK,C,50,6,11,17,-9,33,64,0,2,1,0,0,136,22
Noah Dobson,NYI,D,49,6,46,52,21,22,113,2,1,19,0,1,37,116
Alex Barre-Boulet,TB,C,32,6,3,9,-8,10,44,0,2,0,0,0,16,7
Parker Kelly,OTT,C,45,6,4,10,-3,10,48,0,0,0,2,0,86,37
Cam York,PHI,D,50,6,11,17,-13,26,70,1,0,4,0,1,34,88
Bowen Byram,COL,D,41,6,6,12,-3,34,50,0,0,0,0,0,45,58
Moritz Seider,DET,D,49,6,20,26,2,30,80,0,3,10,0,0,88,113
Brett Leason,ANH,RW,41,6,6,12,-7,10,55,0,0,0,0,0,40,33
Arthur Kaliyev,LA,RW,37,6,8,14,1,14,80,0,3,1,0,0,16,9
Justin Barron,MON,D,41,6,6,12,-4,16,51,1,1,0,0,0,37,51
Drew O'Connor,PIT,C,46,6,9,15,8,12,87,1,0,0,0,1,26,24
Matty Beniers,SEA,C,43,6,13,19,-11,8,74,1,2,4,0,0,20,25
Kent Johnson,CLS,C,32,6,9,15,1,2,49,1,0,0,0,0,4,13
Alex Laferriere,LA,RW,45,6,8,14,-6,26,89,1,0,3,0,0,40,12
Logan Cooley,ARI,C,48,6,19,25,-10,16,76,1,2,8,0,0,27,21
Matthew Poitras,BOS,C,33,5,10,15,4,6,40,1,0,1,0,0,15,15
Cole Smith,NSH,LW,48,5,12,17,1,50,68,2,0,0,1,2,123,21
Jack Quinn,BUF,C,17,5,7,12,1,6,37,0,0,2,0,0,12,7
John Beecher,BOS,C,39,5,2,7,-6,15,27,1,0,0,0,0,60,25
Philip Tomasino,NSH,C,38,5,12,17,-6,25,59,2,0,4,0,0,8,16
Kaapo Kakko,NYR,RW,28,5,1,6,3,2,34,1,0,0,0,0,6,8
Blake Lizotte,LA,LW,34,5,4,9,4,6,46,2,0,0,2,1,26,11
Egor Zamula,PHI,D,40,5,10,15,8,22,40,1,2,4,0,1,12,46
Sean Walker,PHI,D,50,5,12,17,6,26,84,1,0,1,2,1,53,69
Kiefer Sherwood,NSH,LW,39,5,6,11,6,20,61,0,0,0,0,0,113,15
Filip Zadina,SJ,RW,44,5,8,13,-27,8,78,1,1,1,0,0,24,19
Alexander Romanov,NYI,D,49,5,8,13,12,12,80,0,0,0,0,0,66,107
Jeff Carter,PIT,C,40,5,2,7,-3,10,49,3,1,0,1,0,36,20
Sam Gagner,EDM,C,22,5,5,10,2,8,41,2,0,1,0,0,13,12
Kevin Shattenkirk,BOS,D,41,5,8,13,-4,12,61,0,2,5,0,0,23,53
Trevor Lewis,LA,C,46,5,3,8,-1,10,74,1,0,1,1,0,31,29
Mikael Granlund,SJ,C,38,5,24,29,-10,14,73,1,0,9,0,1,36,32
Casey Cizikas,NYI,C,39,5,6,11,-5,14,43,1,0,0,1,0,69,42
Jakob Silfverberg,ANH,RW,48,5,7,12,4,10,73,1,0,2,0,0,9,19
Dougie Hamilton,NJ,D,20,5,11,16,-8,20,61,0,4,4,0,0,11,24
Jesper Fast,CAR,RW,45,5,7,12,-1,8,52,0,0,0,0,0,34,14
William Carrier,VGK,LW,33,5,2,7,2,16,55,0,0,0,0,0,60,12
Rickard Rakell,PIT,C,34,5,13,18,1,4,82,1,2,2,0,0,42,21
Teddy Blueger,VAN,C,35,5,16,21,9,15,50,0,0,0,1,1,31,24
Scott Laughton,PHI,C,50,5,15,20,-8,44,109,0,0,1,1,4,73,29
Jeremy Lauzon,NSH,D,49,5,3,8,0,64,61,0,0,0,0,0,197,70
Nicolas Aube-Kubel,WAS,C,35,5,8,13,8,23,37,0,0,0,0,0,58,18
Pierre Engvall,NYI,LW,43,5,9,14,-2,16,71,0,1,1,0,0,10,9
Brett Howden,VGK,C,48,5,8,13,-7,29,50,0,0,0,2,0,46,31
Julien Gauthier,NYI,RW,27,5,4,9,-5,8,32,1,0,0,0,0,55,17
Taylor Raddysh,CHI,RW,45,5,5,10,-12,12,78,0,1,1,1,0,45,20
Sam Steel,DAL,C,44,5,10,15,3,21,48,0,0,0,2,1,21,19
Boris Katchouk,CHI,LW,31,5,4,9,0,10,44,0,0,0,1,0,33,12
Noah Gregor,TOR,C,46,5,5,10,-8,13,76,1,1,0,1,0,81,20
Emil Bemstrom,CLS,C,29,5,6,11,-4,8,47,0,3,0,0,0,14,21
Ryan Poehling,PHI,C,45,5,9,14,-11,6,59,1,0,0,1,1,25,45
Miro Heiskanen,DAL,D,39,5,25,30,1,10,86,1,1,10,0,0,25,55
Neal Pionk,WPG,D,47,4,14,18,10,34,89,0,1,3,0,0,110,57
David Kampf,TOR,RW,46,4,4,8,-9,14,47,1,0,0,0,0,40,16
Brandon Duhaime,MIN,LW,49,4,1,5,-8,55,55,0,0,0,1,0,94,20
Beck Malenstyn,WAS,C,46,4,7,11,4,14,57,0,0,0,0,0,106,52
Max Jones,ANH,LW,34,4,4,8,-6,17,49,0,0,1,0,0,63,8
Jake Bean,CLS,D,45,4,4,8,-12,20,61,0,0,0,0,0,17,66
Brandon Tanev,SEA,LW,32,4,4,8,7,24,35,0,0,0,0,0,47,32
Jalen Chatfield,CAR,D,43,4,9,13,-1,12,55,0,0,0,0,0,28,43
Darren Raddysh,TB,D,50,4,14,18,-5,8,64,2,0,2,0,0,45,54
Garnet Hathaway,PHI,RW,50,4,2,6,-14,72,47,0,0,0,1,1,121,39
Sonny Milano,WAS,LW,23,4,4,8,-1,6,20,2,0,0,0,0,8,7
Travis Sanheim,PHI,D,49,4,23,27,-17,32,91,2,0,5,0,2,36,81
Pierre-Edouard Bellemare,SEA,C,29,4,1,5,3,6,25,0,0,0,1,0,10,17
Kasperi Kapanen,STL,RW,42,4,9,13,-6,6,65,1,0,0,1,1,26,18
Keegan Kolesar,VGK,RW,47,4,6,10,0,34,41,1,0,0,0,1,132,28
Alexandre Carrier,NSH,D,45,4,10,14,1,26,38,2,0,1,1,0,43,92
Anthony Beauvillier,CHI,LW,37,4,10,14,5,6,58,0,1,2,0,0,24,24
Derek Ryan,EDM,C,45,4,5,9,-1,4,31,0,0,0,1,1,22,12
Victor Olofsson,BUF,LW,33,4,8,12,3,4,46,0,0,2,0,0,10,8
Ivan Provorov,CLS,D,48,4,19,23,-9,6,62,0,0,6,0,0,38,91
Tanner Pearson,MON,LW,30,4,4,8,-6,13,48,0,1,1,0,0,29,23
Justin Schultz,SEA,D,40,4,12,16,-10,22,62,1,0,5,0,0,11,42
Zemgus Girgensons,BUF,C,31,4,0,4,-2,13,38,2,0,0,0,0,54,18
Jake McCabe,TOR,D,41,4,13,17,4,32,45,0,1,1,0,1,90,69
Brian Dumoulin,SEA,D,47,4,7,11,5,14,37,1,0,0,0,0,41,44
Shea Theodore,VGK,D,20,4,14,18,2,0,52,1,2,8,0,0,4,26
Tyler Motte,TB,C,40,4,2,6,-1,8,51,2,0,0,1,0,51,21
Max Domi,TOR,C,47,4,20,24,1,60,65,0,1,1,0,0,30,10
Jaccob Slavin,CAR,D,48,4,16,20,11,6,94,0,0,0,2,1,22,74
Erik Gustafsson,NYR,D,48,4,19,23,2,19,69,0,0,8,0,0,33,46
Esa Lindell,DAL,D,49,4,16,20,14,10,69,0,0,0,0,1,39,92
Mattias Ekholm,EDM,D,44,4,15,19,16,31,92,1,2,1,1,0,75,53
David Savard,MON,D,27,4,7,11,-10,12,29,0,0,0,0,0,27,85
Cal Clutterbuck,NYI,RW,49,4,9,13,0,24,32,0,0,0,0,0,141,39
Corey Perry,EDM,RW,17,4,5,9,-5,12,28,1,1,1,0,0,13,8
Andrew Cogliano,COL,LW,43,4,9,13,6,10,35,0,0,0,1,3,13,19
Patrick Maroon,MIN,LW,49,4,12,16,-11,60,54,0,0,1,0,0,53,16
Alec Martinez,VGK,D,33,4,7,11,3,4,49,0,0,2,0,0,17,109
Jacob Bernard-Docker,OTT,D,37,4,6,10,7,16,27,0,0,0,0,0,24,78
Martin Pospisil,CGY,C,33,4,7,11,9,22,60,0,0,0,0,0,85,13
Michael Kesselring,ARI,D,31,4,7,11,0,32,34,1,0,0,0,0,38,20
Cole Guttman,CHI,C,27,4,4,8,-17,7,50,0,2,1,0,0,10,14
Trevor Zegras,ANH,C,20,4,3,7,-5,24,49,1,1,0,0,0,7,13
Anton Lundell,FLA,C,45,4,14,18,7,20,96,0,0,2,0,1,14,18
Kaiden Guhle,MON,D,45,4,8,12,-7,37,64,1,0,0,0,0,64,129
Radim Zohorna,PIT,RW,31,4,3,7,0,16,38,1,0,0,0,0,34,5
Brock Faber,MIN,D,49,4,25,29,4,22,77,1,2,7,0,0,35,99
Zach Benson,BUF,LW,38,4,10,14,-4,20,58,1,0,0,0,0,10,15
Sam Malinski,COL,D,22,3,7,10,4,6,29,1,1,1,0,0,13,20
Dylan Guenther,ARI,RW,11,3,4,7,2,6,24,0,1,1,0,0,3,6
Mason Lohrei,BOS,D,27,3,3,6,-4,14,34,0,0,0,0,0,21,47
Lukas Reichel,CHI,RW,47,3,6,9,-26,12,62,0,2,0,0,0,15,16
Braden Schneider,NYR,D,49,3,9,12,-5,12,49,1,0,0,0,0,69,69
Peyton Krebs,BUF,C,47,3,6,9,4,48,48,2,0,0,0,0,43,20
J.J. Moser,ARI,D,46,3,15,18,8,15,42,0,0,1,0,2,44,71
Nico Sturm,SJ,C,30,3,4,7,-8,12,31,0,0,0,0,0,16,22
Aliaksei Protas,WAS,C,46,3,15,18,-5,4,60,0,0,0,0,1,12,25
Adam Ruzicka,ARI,C,39,3,6,9,-8,6,34,1,0,4,0,0,7,15
Jesse Ylonen,MON,LW,39,3,4,7,1,8,34,0,0,0,0,0,21,25
John Carlson,WAS,D,47,3,25,28,0,18,104,1,1,9,0,0,24,105
Tyler Myers,VAN,D,49,3,15,18,13,53,52,0,0,0,1,0,62,93
Calvin de Haan,TB,D,45,3,4,7,-6,16,47,0,0,0,0,0,62,63
Marc-Edouard Vlasic,SJ,D,27,3,1,4,-12,6,33,0,0,0,0,0,16,47
Erik Johnson,BUF,D,41,3,0,3,2,24,37,1,0,0,0,0,57,57
Kris Letang,PIT,D,46,3,26,29,15,46,94,0,0,2,0,0,78,75
Ben Chiarot,DET,D,45,3,9,12,3,34,62,0,0,0,0,0,84,93
Erik Gudbranson,CLS,D,44,3,11,14,-15,51,46,1,0,0,0,1,40,110
Adam Larsson,SEA,D,48,3,12,15,4,28,79,0,0,0,0,1,83,91
Dmitry Orlov,CAR,D,48,3,14,17,-8,28,77,1,0,3,1,0,51,32
Ryan Graves,PIT,D,46,3,5,8,11,20,55,1,0,0,0,0,38,89
Hudson Fasching,NYI,RW,35,3,5,8,-8,6,30,0,0,0,0,0,21,21
Brett Pesce,CAR,D,40,3,4,7,-2,10,60,1,0,0,0,0,12,69
Justin Bailey,SJ,RW,28,3,5,8,-3,2,34,0,0,1,0,0,25,15
Artturi Lehkonen,COL,LW,14,3,5,8,-2,2,38,0,1,3,0,0,16,5
Mike Reilly,NYI,D,28,3,6,9,-11,18,62,1,0,2,1,0,24,27
Jacob Trouba,NYR,D,48,3,16,19,2,39,90,0,0,0,0,1,112,142
Radek Faksa,DAL,C,42,3,7,10,0,12,36,0,0,0,2,2,29,21
Colin Blackwell,CHI,C,20,3,3,6,1,6,43,1,1,0,0,0,24,8
Phil Di Giuseppe,VAN,LW,32,3,5,8,4,17,39,0,0,0,0,0,45,16
Noel Acciari,PIT,C,38,3,1,4,1,8,44,1,0,0,0,0,80,57
Brandon Carlo,BOS,D,44,3,10,13,23,24,49,1,0,0,0,0,61,78
Niko Mikkola,FLA,D,49,3,10,13,9,20,60,0,0,0,0,1,89,81
Vladislav Gavrikov,LA,D,41,3,9,12,1,12,64,0,0,0,0,0,18,51
John Marino,NJ,D,47,3,12,15,-9,16,40,0,0,0,0,0,18,59
Ryan Carpenter,SJ,C,32,3,6,9,1,4,31,0,0,0,0,0,23,18
Nathan Walker,STL,C,11,3,1,4,2,0,12,0,0,0,0,0,20,12
Frederick Gaudreau,MIN,C,37,3,7,10,-12,6,61,1,1,3,0,0,12,27
Liam O'Brien,ARI,C,48,3,5,8,1,116,39,0,0,0,0,0,114,23
Christian Dvorak,MON,LW,25,3,4,7,-5,4,32,0,1,0,0,0,8,15
Fredrik Olofsson,COL,C,47,3,6,9,-1,8,39,1,0,0,0,0,30,25
Alexander Barabanov,SJ,RW,29,3,6,9,-18,6,44,0,0,1,0,0,14,10
Artem Zub,OTT,D,37,3,14,17,3,18,45,0,0,0,0,0,60,62
Nathan Bastian,NJ,RW,45,3,7,10,-9,21,47,0,0,0,0,0,93,24
Filip Hronek,VAN,D,49,3,33,36,33,30,94,0,2,7,0,0,36,45
Dillon Dube,CGY,C,43,3,4,7,-13,8,42,0,1,0,0,0,31,18
Vinni Lettieri,MIN,C,19,3,1,4,-6,6,26,0,0,0,0,0,21,11
Klim Kostin,DET,RW,29,3,1,4,1,38,21,0,0,0,0,0,44,5
Gustav Lindstrom,ANH,D,19,3,1,4,2,6,18,0,0,0,0,0,12,25
Mackenzie Entwistle,CHI,RW,41,2,3,5,-23,21,47,1,0,0,0,0,67,22
Henri Jokiharju,BUF,D,41,2,7,9,6,12,49,0,0,0,0,0,43,54
Zack MacEwen,OTT,C,22,2,1,3,-3,46,16,1,0,0,0,0,30,5
Jan Rutta,SJ,D,43,2,9,11,-11,18,40,1,0,0,0,2,36,70
Erik Brannstrom,OTT,D,39,2,9,11,3,24,42,0,0,0,0,1,10,52
Timothy Liljegren,TOR,D,30,2,7,9,3,8,30,0,0,2,0,1,32,67
Joey Anderson,CHI,RW,23,2,6,8,7,4,24,0,0,0,0,0,13,10
Axel Jonsson-Fjallby,WPG,LW,26,2,3,5,6,0,23,1,0,0,0,0,28,7
Ryan Lindgren,NYR,D,47,2,5,7,5,24,45,1,0,0,0,0,54,60
Michael Pezzetta,MON,C,38,2,7,9,2,37,32,0,0,0,0,0,126,16
Ryan Lomberg,FLA,LW,49,2,1,3,0,40,51,0,0,0,0,0,74,11
Nikita Zaitsev,CHI,D,26,2,5,7,2,10,18,0,0,2,0,0,39,52
Matt Roy,LA,D,45,2,12,14,4,20,88,0,0,1,0,2,72,103
Dakota Mermis,MIN,D,33,2,5,7,-2,25,31,0,0,0,0,0,21,41
Mikhail Sergachev,TB,D,33,2,17,19,-15,16,53,0,0,7,0,0,30,69
Tyson Jost,BUF,C,29,2,2,4,-7,8,30,0,0,0,0,0,23,11
Dante Fabbro,NSH,D,39,2,7,9,2,18,41,0,0,0,0,0,30,65
Louis Belpedio,PHI,D,12,2,2,4,6,0,12,1,0,0,0,0,14,18
Brandon Montour,FLA,D,33,2,9,11,-2,10,83,1,0,7,0,0,30,31
Marcus Pettersson,PIT,D,46,2,17,19,20,24,59,1,0,0,0,0,50,81
Jake Evans,MON,LW,49,2,11,13,-1,12,43,0,0,0,0,0,46,39
Rourke Chartier,OTT,C,33,2,1,3,-3,14,36,1,0,0,0,0,24,10
Kevin Labanc,SJ,RW,32,2,5,7,-16,8,43,0,0,3,0,0,27,11
Tony DeAngelo,CAR,D,21,2,7,9,-11,14,33,0,2,4,0,0,2,9
Brendan Lemieux,CAR,LW,21,2,1,3,-2,40,16,1,0,0,0,0,32,3
Aaron Ekblad,FLA,D,32,2,11,13,18,42,65,0,0,3,0,0,36,40
Jakub Vrana,STL,RW,21,2,4,6,-7,8,42,0,0,0,0,0,7,4
Christian Fischer,DET,RW,46,2,7,9,8,24,50,0,0,0,1,0,52,17
Mitchell Stephens,MON,C,23,2,1,3,2,4,16,0,0,0,0,0,6,7
Thomas Chabot,OTT,D,23,2,12,14,-1,6,61,0,1,4,0,0,16,44
Jack Roslovic,CLS,RW,26,2,8,10,-13,12,40,1,0,2,0,0,12,15
Olli Maatta,DET,D,41,2,9,11,12,6,25,0,0,0,0,0,32,50
Matt Dumba,ARI,D,44,2,3,5,-10,43,44,0,0,0,0,0,84,61
Matt Grzelcyk,BOS,D,35,2,5,7,6,16,38,0,0,0,0,0,21,38
Travis Boyd,ARI,C,16,2,6,8,3,2,12,1,0,0,0,0,7,10
Jamie Oleksiak,SEA,D,48,2,6,8,7,21,64,0,0,0,0,0,55,113
Nick Cousins,FLA,C,37,2,3,5,-10,20,63,1,0,0,0,0,45,13
Carson Soucy,VAN,D,21,2,4,6,6,4,15,0,1,1,0,0,21,39
Jonny Brodzinski,NYR,RW,30,2,9,11,0,6,47,0,1,1,0,0,13,12
Kurtis MacDermid,COL,D,26,2,0,2,2,23,11,1,0,0,0,0,39,8
Brett Kulak,EDM,D,45,2,3,5,-1,20,44,0,0,0,0,0,33,46
Colin Miller,NJ,D,27,2,3,5,10,18,43,0,0,0,0,0,42,19
Ryan Pulock,NYI,D,25,2,4,6,-6,8,34,1,1,0,0,0,37,66
Brayden McNabb,VGK,D,50,2,15,17,17,22,46,0,0,0,0,1,68,137
Jani Hakanpaa,DAL,D,49,2,6,8,8,31,40,1,0,0,0,0,114,102
Connor Murphy,CHI,D,43,2,6,8,-19,40,48,0,0,0,0,0,93,105
Taylor Hall,CHI,LW,10,2,2,4,-3,4,20,1,0,1,0,0,6,3
Jeff Petry,DET,D,40,2,12,14,2,24,50,0,0,0,0,1,52,74
Austin Watson,TB,LW,26,2,1,3,2,69,14,0,0,0,0,0,61,13
Cam Fowler,ANH,D,49,2,20,22,-27,12,71,0,0,9,0,0,19,74
Justin Faulk,STL,D,40,2,17,19,-5,10,90,1,1,1,0,1,46,77
Jon Merrill,MIN,D,33,2,3,5,-3,24,18,0,0,0,0,0,18,24
Ryan Reaves,TOR,RW,22,2,0,2,-11,18,11,0,0,0,0,0,47,3
Jack Johnson,COL,D,48,2,7,9,6,34,50,0,0,0,0,0,36,61
Matt Martin,NYI,LW,27,2,1,3,2,18,25,0,0,0,0,0,74,12
Nick Leddy,STL,D,47,2,15,17,9,8,47,0,0,0,1,1,17,66
Travis Hamonic,OTT,D,40,2,3,5,-3,38,39,0,0,0,0,0,42,69
Alex Pietrangelo,VGK,D,45,2,20,22,1,20,106,2,0,6,0,1,27,107
Marco Scandella,STL,D,42,2,3,5,1,8,24,1,0,0,1,0,43,30
Jonatan Berggren,DET,RW,9,2,3,5,4,2,10,0,0,0,0,0,0,6
Nils Lundkvist,DAL,D,39,2,12,14,6,14,55,0,0,2,0,0,23,25
Martin Fehervary,WAS,D,41,2,8,10,-3,20,41,0,0,0,0,1,85,67
David Gustafsson,WPG,C,27,2,2,4,-1,0,19,0,0,0,0,0,10,12
Jakub Lauko,BOS,C,36,2,4,6,-4,20,22,0,0,0,0,0,73,9
Zach Whitecloud,VGK,D,35,2,3,5,0,22,31,1,0,0,0,0,64,56
Eric Robinson,BUF,LW,23,2,5,7,-2,17,35,1,0,0,0,0,37,9
Sheldon Rempal,VGK,LW,4,2,0,2,0,0,7,0,1,0,0,0,0,1
Barrett Hayton,ARI,C,16,2,2,4,-2,18,34,0,1,0,0,0,2,10
Oliver Wahlstrom,NYI,RW,23,2,4,6,-7,4,31,0,1,1,0,0,19,16
Jayden Struble,MON,D,31,2,2,4,-1,11,26,0,0,0,0,0,50,31
Pontus Holmberg,TOR,LW,21,2,6,8,4,8,26,0,0,0,0,0,13,12
Reese Johnson,CHI,RW,33,2,1,3,-18,18,41,0,0,0,0,0,75,16
Joel Kiviranta,COL,RW,34,2,5,7,-4,8,36,0,0,0,0,0,43,21
Hendrix Lapierre,WAS,C,25,2,5,7,-3,4,21,1,0,0,0,0,5,11
Dylan Holloway,EDM,C,18,2,1,3,-2,13,29,0,0,0,0,0,31,8
Jamie Drysdale,PHI,D,18,2,6,8,-8,6,32,0,1,1,0,1,11,26
Brandon Biro,BUF,LW,5,2,0,2,0,0,2,0,0,0,0,0,0,2
Nils Aman,VAN,C,26,2,4,6,1,6,18,0,0,0,0,0,11,15
Simon Nemec,NJ,D,26,2,11,13,-7,10,33,1,0,2,0,0,8,43
Owen Power,BUF,D,49,2,16,18,5,10,68,1,0,2,0,0,21,70
James Hamblin,EDM,C,31,2,1,3,3,0,18,0,0,0,0,0,11,21
Pavel Mintyukov,ANH,D,40,2,17,19,-11,16,60,0,0,7,0,0,48,43
Bobby McMann,TOR,C,23,2,5,7,-4,26,33,0,0,0,0,0,36,3
Kevin Korchinski,CHI,D,44,2,7,9,-22,10,53,1,0,5,0,0,8,51
Tristan Luneau,ANH,D,7,1,2,3,1,4,11,0,0,0,0,0,5,4
Ben Meyers,COL,LW,9,1,0,1,-2,0,7,0,0,0,0,0,10,0
Joshua Roy,MON,C,6,1,1,2,-2,0,10,0,0,0,0,0,1,5
Arber Xhekaj,MON,D,19,1,2,3,2,53,16,0,0,0,0,0,45,15
Matthew Coronato,CGY,LW,15,1,2,3,-8,4,34,0,1,0,0,0,2,1
Jason Polin,COL,RW,7,1,0,1,1,2,6,0,0,0,0,0,12,1
Waltteri Merela,TB,RW,19,1,0,1,2,4,17,0,0,0,0,0,26,6
David Jiricek,CLS,D,36,1,8,9,-1,20,33,1,0,0,0,0,17,39
Walker Duehr,CGY,RW,20,1,3,4,-2,2,12,0,0,0,0,0,26,5
Vasily Ponomarev,CAR,C,2,1,1,2,1,0,1,0,0,0,0,0,0,1
Thomas Bordeleau,SJ,LW,6,1,1,2,-5,4,7,0,0,1,0,0,3,5
Mitchell Chaffee,TB,RW,3,1,1,2,1,0,2,0,0,0,0,0,7,1
Brendan Brisson,VGK,C,4,1,0,1,-2,0,6,1,0,0,0,0,1,0
Rafael Harvey-Pinard,MON,LW,22,1,5,6,-1,6,18,0,0,0,0,1,18,26
Simon Benoit,TOR,D,33,1,1,2,2,28,33,0,0,0,0,0,92,51
Tyler Tucker,STL,D,15,1,1,2,1,22,10,0,0,0,0,0,27,15
Brayden Pachal,VGK,D,17,1,0,1,-2,12,18,0,0,0,0,0,42,23
Samuel Fagemo,LA,LW,8,1,0,1,-1,0,13,0,1,0,0,0,5,3
Kaedan Korczak,VGK,D,24,1,8,9,11,6,27,0,0,1,0,0,33,28
Alex Vlasic,CHI,D,44,1,9,10,2,27,39,1,0,1,0,0,26,84
Samuel Bolduc,NYI,D,33,1,2,3,-5,6,29,0,0,0,0,0,32,36
Nikita Okhotyuk,SJ,D,36,1,6,7,-18,40,37,1,0,0,0,0,86,64
Shane Pinto,OTT,C,4,1,1,2,4,0,10,0,0,0,0,0,7,4
Adam Edstrom,NYR,C,1,1,0,1,1,0,3,0,0,0,0,0,2,0
Jackson LaCombe,ANH,D,45,1,7,8,-23,12,42,0,0,0,0,0,32,80
Valtteri Puustinen,PIT,RW,21,1,7,8,4,4,33,0,0,1,0,0,8,12
Henry Thrun,SJ,D,23,1,2,3,-7,4,28,0,1,1,0,0,13,39
Zac Jones,NYR,D,16,1,4,5,-5,2,19,1,0,0,0,0,6,12
Ty Dellandrea,DAL,C,21,1,2,3,-9,10,17,0,0,0,0,0,29,8
Isac Lundestrom,ANH,LW,13,1,2,3,3,0,11,0,0,0,0,0,4,7
Mark Kastelic,OTT,C,29,1,1,2,-5,40,29,0,0,0,0,0,44,13
Nick Perbix,TB,D,48,1,16,17,6,8,33,1,0,0,0,0,30,82
Jordan Harris,MON,D,30,1,5,6,-4,16,22,0,0,0,0,0,10,47
Ty Emberson,SJ,D,22,1,7,8,-1,2,22,0,0,1,0,0,45,31
Angus Crookshank,OTT,LW,7,1,1,2,-1,4,7,0,0,0,0,0,14,3
Spencer Stastney,NSH,D,9,1,0,1,6,4,5,1,0,0,0,0,1,16
Calen Addison,SJ,D,41,1,11,12,-17,26,51,0,0,7,0,0,12,45
Rasmus Sandin,WAS,D,39,1,11,12,-10,12,49,0,0,2,0,0,36,65
Alexander Alexeyev,WAS,D,13,1,0,1,-4,4,8,0,0,0,0,0,6,15
Mattias Samuelsson,BUF,D,41,1,6,7,4,26,44,1,0,0,0,0,83,86
Max Pacioretty,WAS,LW,12,1,6,7,-1,4,27,0,0,3,0,0,12,2
Zach Bogosian,MIN,D,37,1,7,8,-2,37,50,0,0,0,0,1,57,46
Brendan Smith,NJ,D,34,1,4,5,2,47,31,0,0,0,0,0,48,42
Mark Giordano,TOR,D,32,1,5,6,7,31,40,0,0,0,0,0,31,67
Ryan Suter,DAL,D,49,1,9,10,5,16,65,1,0,0,0,1,39,67
Marc Staal,PHI,D,17,1,1,2,1,10,7,0,0,0,0,0,15,21
Ian Cole,VAN,D,48,1,6,7,10,40,38,0,0,0,0,0,46,99
Ryan McDonagh,NSH,D,42,1,10,11,6,16,53,0,0,3,0,0,20,74
Tyler Pitlick,NYR,C,31,1,2,3,-4,4,30,0,0,0,0,0,63,11
Nick Bonino,NYR,C,45,1,4,5,-12,8,31,0,0,0,0,0,7,78
Chris Tanev,CGY,D,46,1,8,9,7,10,37,0,0,0,0,0,17,135
Jonas Brodin,MIN,D,32,1,12,13,7,6,61,0,0,0,0,0,8,81
Tyson Barrie,NSH,D,31,1,10,11,-8,14,40,0,0,3,0,0,6,35
Justin Dowling,NJ,C,2,1,0,1,-2,0,3,0,0,0,0,0,1,1
Nikita Zadorov,VAN,D,45,1,9,10,0,62,52,0,0,0,0,0,87,47
Rasmus Ristolainen,PHI,D,29,1,3,4,-6,6,44,0,0,0,0,0,44,42
Nate Schmidt,WPG,D,41,1,6,7,5,6,45,1,0,3,0,0,33,52
Seth Jones,CHI,D,35,1,14,15,-11,22,79,1,0,2,0,0,30,84
Dominic Toninato,WPG,LW,15,1,4,5,7,6,12,1,0,0,0,0,23,9
Ben Hutton,VGK,D,31,1,8,9,5,17,46,0,0,1,0,0,9,42
Vinnie Hinostroza,PIT,RW,14,1,2,3,-3,4,27,0,0,0,0,0,8,7
Chad Ruhwedel,PIT,D,32,1,1,2,-2,2,23,0,0,0,0,0,45,24
Josh Brown,ARI,D,28,1,4,5,-4,45,24,1,0,0,0,0,43,49
Kyle Burroughs,SJ,D,43,1,4,5,-25,51,47,0,0,0,0,0,104,82
Mattias Janmark,EDM,C,35,1,5,6,-3,28,36,0,0,0,0,0,21,13
Andre Burakovsky,SEA,LW,17,1,5,6,-1,4,22,0,0,2,0,0,3,5
Adam Erne,EDM,RW,23,1,1,2,2,9,13,0,0,0,0,0,55,5
Joel Edmundson,WAS,D,31,1,2,3,-2,19,29,0,0,0,0,0,28,41
Matt Nieto,PIT,LW,22,1,3,4,5,4,13,0,0,0,0,0,12,9
Dylan DeMelo,WPG,D,47,1,14,15,28,28,43,0,0,1,0,0,82,81
Torey Krug,STL,D,47,1,19,20,-13,24,101,1,0,6,0,0,27,62
Hampus Lindholm,BOS,D,49,1,18,19,17,48,62,0,1,4,0,0,21,69
Brock McGinn,ANH,LW,24,1,2,3,-5,4,24,0,0,0,0,0,27,11
Brendan Gaunce,CLS,C,8,1,2,3,-2,2,12,0,0,0,0,0,16,2
Devin Shore,SEA,C,21,1,3,4,3,4,15,0,0,0,0,0,16,9
Mark Jankowski,NSH,C,2,1,0,1,1,0,5,0,0,0,0,0,1,1
Travis Dermott,ARI,D,32,1,2,3,-12,14,27,0,0,0,0,0,27,42
